name,energy (kcal/kJ),water (g),protein (g),total fat (g),carbohydrates (g),fiber (g),sugars (g),calcium (mg),iron (mg),magnessium (mg),phosphorus (mg),potassium (mg),sodium (g),vitamin A (IU),vitamin C (mg),vitamin B1 (mg),vitamin B2 (mg),viatmin B3 (mg),vitamin B5 (mg),vitamin B6 (mg),vitamin E (mg)
Apple nutrition facts,48/200,86.7,0.27,0.13,12.7,1.3,10.1,5,0.07,4,11,90,0,38,4.0,0.019,0.028,0.091,0.071,0.037,0.05
Apricot nutrition facts,48/201,86.4,1.4,0.39,11.12,2,9.24,13,0.39,10,23,259,1,1926,10.0,0.03,0.04,0.6,0.24,0.054,0.89
Avocado nutrition,160/670,73.23,2.0,14.7,8.53,6.7,0.66,12,0.55,29,52,485,7,146,10.0,0.067,0.13,1.738,1.389,0.257,2.07
Banana nutrition facts,89/371,74.91,1.09,0.33,22.84,2.6,12.23,5,0.26,27,22,358,1,64,8.7,0.031,0.073,0.665,0.334,0.367,0.1
Blackberries nutrition,43/181,88.15,1.39,0.49,9.61,5.3,4.88,29,0.62,20,22,162,1,214,21.0,0.02,0.026,0.646,0.276,0.03,1.17
Blueberry nutrition facts,57/240,84.21,0.74,0.33,14.49,2.4,9.96,6,0.28,6,12,77,1,54,9.7,0.037,0.041,0.418,0.124,0.052,0.57
Carambola or Starfruit,31/128,91.38,1.04,0.33,6.73,2.8,3.98,3,0.08,10,12,133,2,61,34.4,0.014,0.016,0.367,0.391,0.017,0.15
Cherimoya fruit nutrition,75/313,79.39,1.57,0.68,17.71,3,12.87,10,0.27,17,26,287,7,5,12.6,0.101,0.131,0.644,0.345,0.257,0.27
Cherry fruit nutrition facts,63/263,82.25,1.06,0.2,16.01,2.1,12.82,13,0.36,11,21,222,0,64,7.0,0.027,0.033,0.154,0.199,0.049,0.07
Clementine,47/198,86.58,0.85,0.15,12.02,1.7,9.18,30,0.14,10,21,177,1,-,48.8,0.086,0.03,0.636,0.151,0.075,0.2
Cranberries,46/194,87.13,0.39,0.13,12.2,4.6,4.04,8,0.25,6,13,85,2,60,13.3,0.012,0.02,0.101,0.295,0.057,1.2
Currants Black,63/264,81.96,1.4,0.41,15.38,-,-,55,1.54,24,59,322,2,230,181.0,0.05,0.05,0.3,0.398,0.066,-
"Currants, Red and White",56/234,83.95,1.4,0.2,13.8,4.3,7.37,33,1.0,13,44,275,1,42,41.0,0.04,0.05,0.1,0.064,0.07,0.1
